[0807/150501.286:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x63b4001c8a00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0807/150501.436:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x63b4001c8a00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0807/150501.486:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x63b4001c8a00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0807/150501.500:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x63b4001c8a00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0807/150501.572:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x701c001cb800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0807/150501.693:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x701c001cb800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0807/150501.721:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x701c001cb800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0807/150501.739:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x701c001cb800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0807/150502.243:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x62ac00180800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0807/150502.299:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x62ac00180800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0807/150502.337:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x62ac00180800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0807/150502.351:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x62ac00180800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
